Classical Jyotish Computational Matrices: Algorithms, Arrays, and Astrological Mechanics
The translation of classical Vedic astrology (Jyotish) into a programmatic environment requires the strict codification of ancient Sanskrit dictums into structured, multidimensional arrays. In classical computational astrology, determinism is modeled through rigid algorithmic rulesets that quantify relational compatibility, karmic potential, and temporal event triggers. The following analysis exhaustively details the core lookup tables required to build a functional astrological engine. The arrays provided herein are exact, unabridged, and formatted for direct translation into application logic, avoiding arbitrary summaries to preserve the computational integrity of the system.
Alongside the structural data, a rigorous analysis of the underlying astrological mechanics is provided, delineating the causal relationships, geometric overrides, and astronomical logic that dictate how these variables interact within a broader deterministic framework.
1. Yoni Koota: The Biological and Instinctual Resonance Array
Yoni Koota operates as a biological compatibility algorithm within the Ashtakoota marriage matching system. Assigned a weight of 4 out of 36 points (11%), it quantifies physical harmony, sexual compatibility, and subconscious instinctual bonding.1 The algorithm groups the 27 lunar mansions (Nakshatras) into 14 distinct animal archetypes, each polarized with a specific gender representation.2
The scoring logic functions on a rigid 0 to 4 scalar array. Identical animal pairings yield maximum physical resonance (4 points, indicating 91% satisfaction). Pairs considered naturally friendly score 3 points (78%), neutral pairs generate 2 points (65%), and unfriendly pairs yield 1 point (48%).1 Third-order analysis reveals that the 0-point pairs (e.g., Cat and Rat, Serpent and Mongoose) do not merely represent lack of attraction; they trigger a "Yoni Dosha," representing deeply ingrained predator-prey dynamics or severe territorial conflicts that fundamentally destabilize the energetic union, yielding a basal 28-38% satisfaction rate.1
1.1 Nakshatra to Yoni Animal and Gender Mapping
This one-dimensional array maps the index of the 27 Nakshatras to their respective animal and gender archetypes.
Nakshatra Index
	Nakshatra Name
	Exceptionally eloquent and wealthy, finding massive success in commerce, writing, banking, or speaking professions.
	Mercury
	3
	Possesses excellent communication skills, supportive siblings, and finds distinct success in publishing or journalism.
	Mercury
	4
	Highly learned; the native acquires wealth and conveyances by the 16th year and enjoys profound, unshakeable mental peace.
	Mercury
	5
	Highly intelligent, skilled in mantras, blessed with brilliant children, and naturally acts as an advisor to leaders.
	Mercury
	6
	Prone to nervous system disorders and skin diseases, but intellectually outmaneuvers all enemies and competitors.
	Mercury
	7
	Marries an intelligent, youthful spouse and finds immense success in business partnerships, trade, and negotiations.
	Mercury
	8
	Grants a long life, deep interest in occult sciences, and brings unexpected gains through inheritances or hidden wealth.
	Mercury
	9
	Extremely learned and scientifically minded; the native frequently undertakes long journeys for higher education.
	Mercury
	10
	Possesses a powerful intellect; speaks less but performs massive deeds, attaining king-like authority and immense success.
	Mercury
	11
	Wealthy and kind-hearted, the native is blessed with children and immense financial gains after the age of 21.
	Mercury
	12
	Learned and generous, but if afflicted, suffers from an unstable mind, nervous anxiety, and high expenditures.
	Jupiter
	1
	Grants a magnetic personality, highly moral character, a physically robust body, and protection from thousands of doshas.
	Jupiter
	2
	Brings immense wealth, truthful speech, an excellent family life, and high success as a teacher, banker, or advisor.
	Jupiter
	3
	Fosters a philosophical mindset and good relationships with siblings, but the native may lack immense physical courage.
	Jupiter
	4
	Ensures supreme domestic comforts, high education, large properties, and a deeply peaceful, harmonious home life.
	Jupiter
	5
	Highly virtuous with a brilliant intellect; finds success in investments and is blessed with obedient, successful children.
	Jupiter
	6
	Achieves victory through diplomacy and is protected from severe illnesses, but may face potential liver or digestive issues.
	Jupiter
	7
	Attracts a highly cultured, religious, and faithful spouse, and finds great success in long-term joint ventures.
	Jupiter
	8
	Indicates a peaceful death, long life, and deep, profound knowledge of astrology, metaphysics, or the occult.
	Jupiter
	9
	Grants supreme luck; the native is deeply spiritual, highly educated, and exceptionally fortunate regarding the father.
	Jupiter
	10
	Produces powerful Raja Yogas and Dhana Yogas; brings immense wealth, deep respect, and praiseworthy public conduct.
	Jupiter
	11
	Learned and wealthy, experiencing massive financial gains and the acquisition of luxury conveyances by the 32nd year.
	Jupiter
	12
	Drives heavy expenditure on spiritual charities; the native becomes highly detached and attains Moksha or a peaceful afterlife.
	Venus
	1
	The native is extremely attractive, charismatic, fond of luxury, and possesses highly refined artistic and aesthetic tastes.
	Venus
	2
	Grants a melodious voice, immense wealth, a fondness for gourmet food, and a highly harmonious family life.
	Venus
	3
	Indicates artistic siblings, success in creative communications, and a deep fondness for short, pleasurable travels.
	Venus
	4
	Ensures absolute luxury, beautiful homes, multiple high-end vehicles, and deep happiness derived from the mother.
	Venus
	5
	Highly creative and romantic; blessed with beautiful daughters, and possesses a deep lover for music and the arts.
	Venus
	6
	Prone to reproductive or kidney issues, and frequently encounters friction with women or in romantic relationships.
	Venus
	7
	Extremely passionate; attracts a beautiful spouse and enjoys a highly sensual, fulfilling, and harmonious marital life.
	Venus
	8
	Brings unexpected gains through marriage or inheritance, ensures a long life, but indicates potential for secret affairs.
	Venus
	9
	Highly fortunate; loves long-distance luxury travel and possesses a refined, aesthetic approach to spirituality.
	Venus
	10
	Suggests a career in arts, luxury, or entertainment; the native becomes immensely popular and beloved by the public.
	Venus
	11
	Generates supreme financial gains, the rapid accumulation of luxury items, and a vast network of female friends.
	Venus
	12
	Enjoys intense bed pleasures, spends heavily on luxuries, and frequently seeks comfort and romance in foreign lands.
	Saturn
	1
	Imparts a tall, thin physique, a melancholy disposition, delayed success, and a highly disciplined, serious nature.
	Saturn
	2
	Extremely rich if ruling good houses, but if afflicted, the native is poor with harsh speech and an afflicted face.
	Saturn
	3
	Causes the loss of younger brothers or having no brothers; the native earns a livelihood through heavy or undesirable trades.
	Saturn
	4
	Indicates separation from the mother, a severe lack of domestic peace, and intense delays or obstacles in acquiring property.
	Saturn
	5
	Causes significant delays in childbirth, grants a slow but profound intellect, and leads to a melancholic romantic life.
	Saturn
	6
	Crushes enemies through sheer endurance; immune to many diseases but highly prone to chronic, slow-moving ailments.
	Saturn
	7
	Forces a delayed marriage, attracts an older or highly mature spouse, and indicates a cold but dutiful marital life.
	Saturn
	8
	Grants an exceptionally long life, but the native's path may be filled with slow struggles and chronic health issues.
	Saturn
	9
	Detached from orthodox religion, seeks deep philosophical truth, and faces severe delays in luck and higher education.
	Saturn
	10
	Indicates a slow but steady rise to immense power; massive success in heavy industries, labor management, or politics.
	Saturn
	11
	Brings slow but massive accumulation of wealth, older or mature friends, and the ultimate fulfillment of long-term desires.
	Saturn
	12
	Threatens confinement, heavy expenditures, potential for imprisonment, but offers ultimate success far from the birthplace.
	Rahu
	1
	Generates an unconventional personality; the native is highly ambitious, manipulative, and prone to sudden life changes.
	Rahu
	2
	Causes sudden financial spikes and crashes, unorthodox dietary habits, and deceitful or foreign-influenced speech.
	Rahu
	3
	Grants immense courage and destroys enemies effortlessly, but is highly detrimental to the survival of younger siblings.
	Rahu
	4
	Creates massive domestic chaos, deep psychological unrest, and leads to an unnatural or foreign home environment.
	Rahu
	5
	Yields a highly obsessive intellect; brings gains through massive speculation but causes extreme distress regarding children.
	Rahu
	6
	Ensures supreme victory over enemies and massive success in foreign lands, but causes strange, undiagnosable physical ailments.
	Rahu
	7
	Leads to an unconventional marriage, often to a foreign spouse, and creates highly volatile business partnerships.
	Rahu
	8
	Triggers sudden, mysterious transformations, undiagnosable diseases, and massive gains from illicit or hidden sources.
	Rahu
	9
	Causes the rejection of traditional religion in favor of bizarre philosophies; brings luck through foreign travel or foreigners.
	Rahu
	10
	Imparts extreme ambition; the native achieves a sudden rise to power through manipulation and unconventional career paths.
	Rahu
	11
	Generates massive, sudden wealth accumulation through unorthodox means and establishes a diverse, powerful network.
	Rahu
	12
	Indicates foreign residence, bizarre dreams, severe sleep disorders, and immense hidden or unexplainable expenses.
	Ketu
	1
	The native is deeply spiritual, introverted, highly intuitive, but heavily prone to physical weakness or a lack of direction.
	Ketu
	2
	Causes detachment from wealth, sharp or highly critical speech, and a strong potential for sudden financial losses.
	Ketu
	3
	Courageous but entirely detached from outcomes; frequently breaks ties with siblings, neighbors, or immediate peers.
	Ketu
	4
	Leads to the loss of property, emotional detachment from the mother, and highly unsettling, transient domestic environments.
	Ketu
	5
	Grants a spiritual intellect and past-life karmic burdens regarding children; causes sudden, absolute losses in speculation.
	Ketu
	6
	Brings strange, undiagnosable diseases, but allows the native to intuitively outmaneuver enemies without direct conflict.
	Ketu
	7
	Creates extreme detachment from marriage, attracts a highly spiritual or sickly spouse, and results in broken partnerships.
	Ketu
	8
	Fosters a deep interest in occult mysteries, triggers sudden surgical interventions, and grants intense intuitive flashes.
	Ketu
	9
	Leads to deeply orthodox or highly mystical spirituality, numerous pilgrimages, and inevitable separation from the father.
	Ketu
	10
	Causes sudden career changes, utter detachment from fame, and leads to a chaotic or highly spiritual public life.
	Ketu
	11
	Generates a complete disinterest in social networking, brings sudden but unfulfilling financial gains, and spiritual friends.
	Ketu
	12
	The ultimate planetary placement for Moksha (liberation), granting profound psychic phenomena and extreme physical isolation.
	6. The 16 Tajika Yogas: The Relational Calculus of Varshaphala
The Tajika system, employed primarily in Varshaphala (annual horoscopy) and Prashna (horary astrology), abandons the standard Parashari sign-based aspects in favor of 16 highly specific geometric operators known as "Yogas".19 These relational operators calculate the exact timing, energetic flow, and manifestation of physical events.
Computational analysis of Tajika Yogas relies on rigid Deeptamshas (orbs of influence) for each planet: Sun 15°, Moon 12°, Mars 8°, Mercury 7°, Jupiter 9°, Venus 7°, and Saturn 9°.19 The algorithm must also strictly monitor planetary velocity, following the hierarchy from fastest to slowest: Moon, Mercury, Venus, Sun, Mars, Jupiter, Saturn.19 An aspect only mathematically completes if the faster planet applies to the slower planet within the designated orb.
6.1 Complete Array of 16 Tajika Yogas
The following array details the name, formation rule, and deterministic predictive effect of all 16 Tajika Yogas.19
Name
	Formation Rule
	Predictive Effect
	1. Ikkaval / Iqbal
	All seven planets are positioned strictly in Kendra (1, 4, 7, 10) and Panaphara (2, 5, 8, 11) houses.
	Highly Positive; brings immense gains in business, a rise in status, massive wealth, and overall good luck during the year.
	2. Induvara
	All seven planets are positioned strictly in Apoklima (3, 6, 9, 12) houses.
	Negative; indicates misfortune, failure of objectives, loss of status, sickness, and deep disappointments.
	3. Ithasala / Muthasil
	A faster-moving planet is behind a slower-moving planet, both are in mutual Tajika aspect, and their degrees overlap within their combined orb (Deeptamsha).
	Highly Positive; indicates the successful fulfillment, bridging, and physical manifestation of the desired event.
	4. Easarapha / Musaripha
	A faster-moving planet is mathematically ahead of a slower-moving planet by 1 degree or more, moving out of orb.
	Negative; a separative aspect indicating failure, missed opportunities, and moving away from success.
	5. Nakta
	No mutual aspect exists between two primary planets, but a faster third planet sits between them, forming aspects with both.
	Positive; success is achieved through the active assistance or bridging action of a third party (a messenger or junior).
	6. Yamaya
	No mutual aspect exists between two primary planets, but a slower third planet sits between them, forming aspects with both.
	Positive; light is transferred via the slower planet, indicating success through an older, established, or senior mediator.
	7. Manau / Manahoo
	Two planets are within Ithasala orb, but a malefic planet (Mars or Saturn) is located exactly between their degrees.
	Negative; the expected success is violently destroyed or blocked at the last minute by an external enemy or circumstance.
	8. Kamboola
	An Ithasala yoga forms between the Ascendant lord and House lord, while the Moon also forms an Ithasala with either of them.
	Highly Positive; the Moon acts as a powerful catalyst, guaranteeing success, joy, and smooth, high-quality execution.
	9. Gairi-Kamboola
	Similar to Kamboola, but the Moon is debilitated, combust, or heavily afflicted while forming the bridging Ithasala.
	Neutral/Negative; the event may technically happen, but it brings deep sorrow, extreme stress, or a pyrrhic victory.
	10. Khallasara
	The Ascendant lord and House lord are completely void of course—not forming Ithasala with the Moon or any other planet.
	Negative; indicates complete stagnation, a severe lack of energy, and the absolute failure of the objective.
	11. Rudda
	An Ithasala is forming, but the faster applying planet is combust, retrograde, or highly afflicted by a malefic.
	Negative; the endeavor is obstructed, annulled, or violently rejected right before completion.
	12. Duhphali Kuttha
	A slow-moving planet is exalted or in its own sign, but the faster planet approaching it is debilitated or in an enemy sign.
	Negative; despite good foundations, the execution is fundamentally flawed, leading to failure and disappointment.
	13. Duthotha-Davira
	Both planets are weak or afflicted, but one forms a secondary Ithasala with a third exalted or exceptionally strong planet.
	Positive; a seemingly doomed situation is suddenly and miraculously rescued by a powerful external benefactor.
	14. Tambira
	A faster planet at the very end of a sign (29°+) is about to enter the next sign to form an Ithasala with a slower planet.
	Positive; delayed success that manifests precisely when a major geographical shift, relocation, or phase change occurs.
	15. Kuttha
	The Ascendant is aspected by a planet located in a Kendra or Panaphara that is also in its own or exalted sign.
	Highly Positive; guarantees immense personal power, protection, elevation of status, and fulfillment of deep desires.
	16. Durupha
	A planet in the 6th, 8th, or 12th house is debilitated/combust and forms an Ithasala with another similarly afflicted planet.
	Highly Negative; massive disaster, total ruin, severe health crises, imprisonment, and absolute powerlessness.
	7. Tajika Sahams: The Mathematical Sensitive Points
Derived from the Arabic astrological tradition (Arabic Parts), Tajika Sahams are mathematically calculated sensitive points plotted across the 360-degree zodiac. These points act as temporal triggers, pinpointing specific life events within a given annual cycle.25 The standard algorithm for derivation is Point A - Point B + Ascendant. However, a crucial geometric correction exists: if the Ascendant does not fall spatially between Point A and Point B, an additional 30 degrees must be programmatically added to the result to finalize the Saham's longitude.28
Furthermore, due to the inversion of planetary power between diurnal and nocturnal hours, the algorithm reverses Point A and Point B depending on whether the birth occurred during the day or night.25
7.1 Complete Array of 50 Tajika Sahams (Neelakanthi System)
The following 50-row array provides the full mathematical formulas required to calculate each domain-specific Saham, accounting for the day/night inversion.26
Saham Name (Domain)
	Day Formula
	Night Formula
	1. Punya (Fortune/Luck)
	Moon - Sun + Asc
	Sun - Moon + Asc
	2. Vidya (Education)
	Sun - Moon + Asc
	Moon - Sun + Asc
	3. Yasa (Fame)
	Jupiter - Punya Saham + Asc
	Punya Saham - Jupiter + Asc
	4. Mahatmya (Greatness)
	Punya Saham - Mars + Asc
	Mars - Punya Saham + Asc
	5. Gaurava (Respect)
	Jupiter - Moon + Asc
	Moon - Jupiter + Asc
	6. Karma (Work/Profession)
	Mars - Mercury + Asc
	Mercury - Mars + Asc
	7. Artha (Money/Wealth)
	House 2 Cusp - House 2 Lord + Asc
	House 2 Lord - House 2 Cusp + Asc
	8. Vanijya (Trade/Commerce)
	Mars - Sun + Asc
	Sun - Mars + Asc
	9. Siddhi (Success/Achievement)
	Punya Saham - Sun + Asc
	Sun - Punya Saham + Asc
	10. Samarth (Ability/Enterprise)
	Mars - Ascendant Lord + Asc
	Ascendant Lord - Mars + Asc
	11. Bhrata (Siblings)
	Jupiter - Saturn + Asc
	Saturn - Jupiter + Asc
	12. Rajya (Kingdom/Authority)
	Saturn - Sun + Asc
	Sun - Saturn + Asc
	13. Taata (Father)
	Sun - Saturn + Asc
	Saturn - Sun + Asc
	14. Mata (Mother)
	Moon - Venus + Asc
	Venus - Moon + Asc
	15. Suta (Children)
	Jupiter - Moon + Asc
	Moon - Jupiter + Asc
	16. Jeevita (Life/Longevity)
	Saturn - Jupiter + Asc
	Jupiter - Saturn + Asc
	17. Ambu (Water/Travel)
	Cancer 15° - Moon + Asc
	Moon - Cancer 15° + Asc
	18. Kama (Desire/Lust)
	Venus - Ascendant + Asc
	Ascendant - Venus + Asc
	19. Mandya (Sluggishness)
	Saturn - Moon + Asc
	Moon - Saturn + Asc
	20. Manmatha (Sexual Passion)
	Ascendant - Moon + Asc
	Moon - Ascendant + Asc
	21. Kali (Strife/Conflict)
	Jupiter - Mars + Asc
	Mars - Jupiter + Asc
	22. Kshama (Forgiveness)
	Jupiter - Mars + Asc
	Mars - Jupiter + Asc
	23. Shastra (Weapons/Surgery)
	Jupiter - Saturn + Asc
	Saturn - Jupiter + Asc
	24. Bandhu (Relatives)
	Mercury - Moon + Asc
	Moon - Mercury + Asc
	25. Bandhaka (Captivity)
	Venus - Moon + Asc
	Moon - Venus + Asc
	26. Mrityu (Death)
	House 8 Cusp - Moon + Asc
	Moon - House 8 Cusp + Asc
	27. Paradesa (Foreign Travel)
	House 9 Cusp - House 9 Lord + Asc
	House 9 Lord - House 9 Cusp + Asc
	28. Dhana (Material Wealth)
	Venus - Mercury + Asc
	Mercury - Venus + Asc
	29. Anya Dara (Adultery/Affairs)
	Venus - Sun + Asc
	Sun - Venus + Asc
	30. Anya Karma (Alternative Work)
	Mercury - Saturn + Asc
	Saturn - Mercury + Asc
	31. Vyapara (Business Operations)
	Mars - Saturn + Asc
	Saturn - Mars + Asc
	32. Satru (Enemy)
	Mars - Saturn + Asc
	Saturn - Mars + Asc
	33. Daridra (Poverty)
	Jupiter - Mercury + Asc
	Mercury - Jupiter + Asc
	34. Bandhana (Imprisonment)
	Punya Saham - Saturn + Asc
	Saturn - Punya Saham + Asc
	35. Roga (Disease)
	Ascendant - Moon + Asc
	Moon - Ascendant + Asc
	36. Apamrityu (Unnatural Death)
	House 8 Cusp - Mars + Asc
	Mars - House 8 Cusp + Asc
	37. Vivaha (Marriage)
	Venus - Saturn + Asc
	Saturn - Venus + Asc
	38. Santapa (Sorrow)
	Saturn - Moon + Asc
	Moon - Saturn + Asc
	39. Sraddha (Devotion)
	Venus - Mercury + Asc
	Mercury - Venus + Asc
	40. Preeti (Love/Affection)
	Venus - Moon + Asc
	Moon - Venus + Asc
	41. Bala (Strength/Power)
	Mars - Moon + Asc
	Moon - Mars + Asc
	42. Tanu (Physical Body)
	Ascendant - Moon + Asc
	Moon - Ascendant + Asc
	43. Jadya (Dullness/Stupor)
	Mars - Mercury + Asc
	Mercury - Mars + Asc
	44. Paniya Patana (Fall in Water)
	Cancer 15° - Saturn + Asc
	Saturn - Cancer 15° + Asc
	45. Shaurya (Bravery)
	Mars - Saturn + Asc
	Saturn - Mars + Asc
	46. Upaya (Strategy/Method)
	Jupiter - Mercury + Asc
	Mercury - Jupiter + Asc
	47. Guru (Teacher/Guide)
	Sun - Jupiter + Asc
	Jupiter - Sun + Asc
	48. Ambu Patha (Sea Voyage)
	Cancer 15° - Mars + Asc
	Mars - Cancer 15° + Asc
	49. Dharma (Righteousness)
	Moon - Mercury + Asc
	Mercury - Moon + Asc
	50. Karma Siddhi (Action Fulfillment)
	Sun - Mercury + Asc
	Mercury - Sun + Asc
	8. The Nakshatra-Surgical Body Mapping Array
Medical astrology (Ayurjyotish) utilizes a strict contraindication algorithm known as the Nara Chakra (human body projection onto the zodiac). This system dictates that surgical procedures must never be performed on a specific body part when the Moon is transiting the Nakshatra that rules that exact anatomical region.31
The underlying bio-energetic logic states that the lunar transit actively pulls blood, fluids, and energetic prana to that specific cellular region. Therefore, incisions or surgeries performed during this window face highly elevated risks of severe hemorrhage, massive swelling, infection, and significantly delayed healing.31 The following 27-row array maps the sidereal constellations to human anatomy, providing the requisite logic for a medical timing module.31
8.1 Complete 27-Nakshatra Anatomical Mapping Array
Nakshatra Index
	Nakshatra
	Anatomical Region / Body Part Ruled (Surgery Strictly Forbidden During Lunar Transit)
	1
	Ashwini
	Knees, top of the feet.
	2
	Bharani
	Head, bottom of the feet.
	3
	Krittika
	Waist, hip joints, crown of the head.
	4
	Rohini
	Legs, forehead, ankles, shins, calves of the legs.
	5
	Mrigashira
	Eyes, eyebrows.
	6
	Ardra
	Hair, eyes, back and front side of the head (brain's controlling mechanism).
	7
	Punarvasu
	Fingers, nose.
	8
	Pushya
	Mouth, face (facial expressions), bone joints, elbows.
	9
	Ashlesha
	Nails, knuckles, kneecaps, ears.
	10
	Magha
	Nose, lips, chin.
	11
	Purva Phalguni
	Sexual organs, lips, right hand.
	12
	Uttara Phalguni
	Sexual organs, left hand.
	13
	Hasta
	Hands.
	14
	Chitra
	Forehead, neck.
	15
	Swati
	Teeth, chest, respiratory and breathing process.
	16
	Vishakha
	Upper limbs, arms, breasts.
	17
	Anuradha
	Astral fires in the body, heart, breasts, stomach, womb.
	18
	Jyeshtha
	Tongue, neck, right side of the torso.
	19
	Mula
	Both feet, left side of the torso, back.
	20
	Purva Ashadha
	Both thighs.
	21
	Uttara Ashadha
	Both thighs, waist.
	22
	Shravana
	Ears, sexual organs, physical gait.
	23
	Dhanishta
	Back, anus.
	24
	Shatabhisha
	Both sides of the chin, jaw, right thigh.
	25
	Purva Bhadrapada
	Two sides of the body, ribs, abdomen, sides of legs, left thigh, soles of feet.
	26
	Uttara Bhadrapada
	Two sides of the body, sides of legs, shins, soles of feet.
	27
	Revati
	Armpits, abdomen, groin.
